drg_id,provider_state,total_discharges,avg_covered_charges,avg_total_payments
191,MS,2205,21305.16,5812.05
191,MT,248,13134.31,6273.56
191,NC,5023,16598.04,6473.67
191,ND,184,11201.12,6130.01
191,NE,771,22824.55,6117.70
191,NH,771,16916.70,6223.94
191,NJ,5746,50789.77,7184.38
191,NM,442,24329.05,6837.02
191,NV,824,40208.55,6819.99
191,NY,8435,23005.96,8093.69
191,OH,7573,18587.58,6115.91
191,OK,2379,20357.31,5990.11
191,OR,599,18029.14,6935.38
191,PA,6768,29850.34,6478.82
191,RI,600,21209.64,7438.50
191,SC,2295,26173.33,6230.99
191,SD,272,18960.69,6780.07
191,TN,4679,19592.88,5659.53
191,TX,9812,29950.80,6391.86
191,UT,138,15920.90,6555.12
191,VA,4034,18711.80,6003.06
191,VT,283,13784.93,8082.49
191,WA,1489,21239.21,6896.81
191,WI,1733,17207.35,6423.52
191,WV,2369,12902.29,5790.54
191,WY,118,17425.69,7955.59
192,AK,131,17779.25,7968.29
192,AL,3235,15374.72,4278.34
192,AR,1638,13024.96,4288.84
192,AZ,1316,21237.61,5160.33
192,CA,5280,35106.21,6206.44
192,CO,692,18609.35,4787.54
192,CT,1001,15964.48,5852.17
192,DC,297,19110.58,6580.33
192,DE,364,11912.43,5387.25
192,FL,9566,23968.06,4534.10
192,GA,3425,15379.31,4588.00
192,HI,124,20494.05,7108.40
192,IA,876,12604.54,4508.63
192,ID,146,10950.45,4583.78
192,IL,6105,17974.04,5058.52
192,IN,3640,13936.93,4555.13
192,KS,868,16307.35,4586.09
192,KY,4591,13106.80,4457.61
192,LA,2150,15410.42,4526.40
192,MA,3335,9968.72,5450.41
192,MD,2623,6902.99,6506.56
192,ME,554,10885.84,4922.80
192,MI,4582,12025.82,5047.97
192,MN,744,13089.66,5186.65
192,MO,2701,15094.24,4582.43
192,MS,2181,16092.46,4361.59
192,MT,209,10227.59,4816.22
192,NC,3476,13089.70,4841.03
192,ND,98,9352.07,4708.64
192,NE,554,18363.37,4795.95
192,NH,540,13558.41,4622.85
192,NJ,3927,39596.13,5361.39
192,NM,555,16644.00,5296.97
192,NV,893,31006.35,5083.79
192,NY,6575,16960.23,6070.99
192,OH,5736,13702.66,4557.61
192,OK,2194,15888.42,4495.40
192,OR,402,14028.47,5406.68
192,PA,5419,21974.57,4840.65
