provider_id,mr_h_a,lme_mr_h_a,ume_mr_h_a,num_p_mr_ha,mr_hf,lme_mr_hf,ume_mr_hf,num_p_mr_hf,mr_p,lme_mr_pn,ume_mr_pn,num_p_mr_pn,readm_ha,lreadma_ha,ureadma_ha,num_p_readm_ha,readma_hf,lreadmae_hf,ureadmae_hf,num_p_readma_hf,readma_pn,lreadma_pn,ureadma_pn,num_p_readma_pn
141306,15.4,11.7,19.8,28,,,,21,12.5,8.8,17.4,66,,,,23,23.7,19,29.2,29,17.8,13.9,22.5,67
141307,,,,7,11.6,8.2,16.3,33,11,7.6,15.8,66,,,,1,24.9,20.4,30.2,44,16.6,13,21.2,66
141309,,,,5,11.7,8.3,16,42,13.7,9.8,18.7,81,,,,5,22.9,18.3,28,44,17.3,13.6,22,73
141310,16.7,13.2,20.8,34,12.5,8.9,17,67,10.9,7.9,15.3,113,19.8,16,24.3,27,26.1,21.2,31.5,78,17.1,13.6,21.2,114
141311,15.7,12.3,19.9,27,10.9,7.8,15.1,84,12.3,9.2,16.1,184,,,,19,25.2,20.9,30.2,98,18.1,14.6,22.1,191
141312,,,,15,11.4,8.1,15.8,47,11.6,8.5,15.8,105,,,,13,24.1,19.8,29.1,63,17.4,14,21.6,109
141313,,,,6,12.5,8.7,17,52,13.6,9.7,18.5,84,,,,2,23.6,19.2,28.9,62,18.9,15,23.5,94
141315,,,,6,12.5,9.3,16.3,102,12.1,8.9,15.6,136,,,,3,23,18.9,27.6,103,17.2,14,21.2,133
141316,,,,6,11.2,8,15.7,50,14.6,10.5,19.8,87,,,,3,24.6,20,29.5,62,18.8,14.9,23.3,92
141317,,,,3,11,7.6,15.5,33,10.5,7.5,14.7,86,,,,3,23.9,19.4,29.2,40,17.4,13.7,21.7,94
141318,,,,13,12.2,8.7,16.7,54,13.5,9.9,18,88,,,,10,23.4,19,28.7,62,18.6,14.7,23.4,87
141319,,,,22,12.3,8.8,16.8,41,14.5,10.5,19.9,99,,,,17,23.6,18.9,29.1,41,17.6,13.9,22,105
141320,,,,15,14.4,10.7,19.4,83,11.6,8.3,16,94,,,,5,23.7,19.5,28.6,87,16.8,13.4,21.1,102
141322,,,,15,11.8,8.6,16,73,9.8,7.1,13.4,156,,,,9,22.7,18.6,27.3,74,18.1,14.5,22.3,159
141324,,,,17,13.5,9.8,18.3,57,16.1,12.2,20.8,160,,,,10,27.9,23,33.6,62,18.9,15.4,22.9,169
141325,,,,8,13.2,9.7,17.3,76,15.9,12.1,20.8,136,,,,4,25.1,20.9,30.1,89,19.3,15.4,23.4,125
141326,,,,11,12.7,9.4,16.7,126,11.9,8.5,15.9,99,,,,8,26.1,21.7,31.1,134,18.9,15.1,23.5,96
141327,,,,15,12.8,9.7,16.8,101,14.4,10.9,18.5,168,,,,9,24.9,20.4,29.8,122,20.9,17.1,25.4,170
141328,,,,12,12.2,8.4,17.2,34,10.9,8,14.9,126,,,,9,27.2,22.6,32.3,44,19.9,16.2,24,156
141330,,,,13,12.9,9.1,17.9,35,11.6,8.2,16.5,61,,,,6,25.2,20.5,30.8,39,17.6,13.6,22.3,64
141331,,,,6,11.5,8,16,40,11.4,8.1,15.5,69,,,,5,22.6,18.6,27.8,55,20.7,16.5,25.5,70
141332,16,12.1,20.6,27,14.4,10.6,19.2,62,13.5,10.1,18.2,146,,,,21,22.7,18.5,27.5,65,17.1,13.8,21.2,157
141333,,,,7,11.9,8.3,16.5,40,14.7,10.5,20.2,84,,,,2,24.4,19.3,30,39,17.7,13.8,22.3,74
141334,,,,13,11,7.7,15.3,51,13,9.7,17.6,91,,,,6,23.7,19,28.7,52,17.6,14.2,21.5,113
141335,,,,8,13.6,9.8,18.7,60,13.5,9.4,18.6,58,,,,8,25.9,21.1,31.4,69,17.4,13.7,22,66
141336,,,,21,11.8,8.5,16.2,64,12.8,9.4,17,116,,,,14,25.2,20.6,30.4,75,17.5,13.9,21.7,113
141337,14.8,11.4,19.3,41,13.7,10.4,17.8,134,16.9,13.3,21.1,200,19.2,15,24.1,26,22.9,18.9,27.4,151,18.6,15.3,22.4,205
141338,,,,9,14.1,10.3,19,69,12.1,8.8,16.5,109,,,,5,24.3,19.9,29.2,73,19.6,15.6,24.3,117
141339,14.9,11.2,19.3,30,9.6,7.1,12.9,132,10.3,8,12.9,339,,,,24,24.5,20.7,29,157,16.5,13.8,19.7,351
141340,,,,13,15.4,10.9,20.9,56,14.5,10.4,19.5,73,,,,6,25.2,20.6,30.2,72,17.8,13.8,22.3,82
141341,,,,14,11.1,7.9,15.4,75,11.4,8.3,15.5,96,,,,8,25.2,20.6,30.4,88,17.2,13.6,21.6,94
141342,,,,5,13.2,9.6,17.6,59,9.3,6.7,12.6,91,,,,5,25.8,21,31.1,71,20,16,24.6,94
141343,16.9,12.7,21.6,31,15.4,11.5,20.3,96,11.7,8.8,15.5,125,,,,18,28.9,24.1,33.8,110,17,13.6,21.3,117
141344,,,,19,12.5,9.4,16.8,95,14,10.7,18.1,152,,,,11,23.2,19.1,27.5,103,16.7,13.3,20.6,150
141345,,,,15,12.2,8.8,16.5,99,15.8,11.6,20.7,93,,,,11,26.9,22.5,31.9,121,18.7,15,23.5,89
141346,,,,7,9.3,6.7,12.7,129,10.1,7.7,13.4,274,,,,6,26.2,22,30.9,150,20.1,16.7,23.8,302
141347,,,,21,12.6,9.4,16.8,87,13.3,9.5,17.9,105,,,,12,22.7,18.7,27.5,98,18.1,14.5,22.5,105
